variant,seed,target_tokens,actual_tokens,needle_frac,gold,baseline_logprob,topk_ablated_logprob,randomk_ablated_logprob,delta_topk,delta_randomk
literal,1234,4096,4096,0.1,915965,-2.054404894510905,-2.1718637148539224,-2.064632256825765,-0.11745882034301758,-0.010227362314860322
literal,1235,4096,4096,0.1,822782,-1.9907581011454265,-2.4490257104237876,-1.9909716447194417,-0.4582676092783611,-0.00021354357401515145
alias,101234,4096,4095,0.1,476403,-1.9904686609903972,-2.3729918797810874,-2.021804173787435,-0.3825232187906902,-0.031335512797037834
alias,101235,4096,4095,0.1,419257,-1.9177112579345703,-2.283698399861654,-1.9496680895487468,-0.3659871419270835,-0.031956831614176506
paraphrase,201234,4096,4096,0.1,193786,-2.1461076736450195,-2.3663100401560464,-2.146187941233317,-0.22020236651102687,-8.026758829737801e-05
paraphrase,201235,4096,4096,0.1,207278,-2.162783225377401,-2.6327768762906394,-2.2333038647969565,-0.4699936509132385,-0.07052063941955566
relational,301234,4096,4096,0.1,994066,-1.8758996327718098,-2.1872523625691733,-1.8787816365559895,-0.3113527297973635,-0.0028820037841796875
relational,301235,4096,4095,0.1,726316,-1.8343653678894043,-2.1169211069742837,-1.8450366655985515,-0.2825557390848794,-0.01067129770914721
distractor_heavy,401234,4096,4097,0.1,210681,-2.0733620325724282,-2.4038213094075522,-2.0944608052571616,-0.330459276835124,-0.02109877268473337
distractor_heavy,401235,4096,4096,0.1,639039,-1.8868417739868164,-2.2793323198954263,-1.9591252009073894,-0.3924905459086099,-0.07228342692057299
